content,name
我忍无可忍，真想过去把瞎子扔进地穴里，但是看这算命瞎子在村民们眼中很有地位，真要戗起来，免不了要得罪很多人。最可恨的是我好不容易用金钱糖衣炮弹，打消了民兵们的迷信思想，偏在此时，冒出个瞎子胡说一通，说得这些民兵一个个地又想打退堂鼓了。,鬼吹灯之牧野诡事
我气急败坏地对瞎子说道：“这地穴中是什么所在？你不妨说出来让我们听听？要是吓不死我，你趁早给我到一边凉快去。”,鬼吹灯之牧野诡事
算命的瞎子神色傲然，对我说道：“你看你看，意气用事了是不是？吓死了你这小辈，老夫还得给你偿命，过来，让老夫摸摸你的面相。”说罢也不管我是不是愿意，伸手就在我脸上乱捏。,鬼吹灯之牧野诡事
瞎子边捏我的脸边自言自语：“历代家传卦数，相术精奇匪夸；一个竹筒装天机，数枚铜板卜万事；摸骨观人不须言，便知高低贵贱……”,鬼吹灯之牧野诡事
瞎子忽然奇道：“怪哉，凡人蛇锁灵窍，必有诸侯之分，看来大人您还是个不小的朝廷命官……”,鬼吹灯之牧野诡事
我被瞎子气乐了，我现在属于个体户，在这冒充国家干部，不知怎么被他知道了，就拿这话来唬我。我们家哪出过什么诸侯，搁现在来算，够诸侯级别的,鬼吹灯之牧野诡事
，在地方上是省长，在军事上少说也得是大区的头头，我最多当过一连之长，***的是无稽之谈。,鬼吹灯之牧野诡事
只听瞎子继续说道：“你如果不走仕途，注定没有出头之日啊。你们如果想下地穴，必须带上老夫，没了老夫的指点，尔等纵然是竖着进去，最后也会横着出来。”,鬼吹灯之牧野诡事
Shirley 杨在旁听了多时，走过来在瞎子旁边说道：“您是不是觉得这下边是个古墓，打算跟我们这些穿山甲下去沾点光，倒出两件明器来？是就是，不是就不是，我们没时间陪你再兜圈子了，你若再有半句虚言，立刻把你赶出去。”,鬼吹灯之牧野诡事
瞎子被Shirley 杨说得一怔，压低声音说道：“嘘———小点声，原来姑娘也是行里的人？听你这话，这莫不是,鬼吹灯之牧野诡事
？老夫还当尔等是官面上的。看来你们摸金的最近可真是人才辈出啊。既然,鬼吹灯之牧野诡事
不是外人，也不瞒尔等了。嗨，老夫当年也是名扬两湖之地的卸岭力士，这不是年轻的时候去云南倒斗把这对招子丢了吗？流落到这穷乡僻壤，借着给人算命糊口，又是孤老，所以……想进去分一杯羹，换得些许散碎银两，也好给老夫仙游之时，置办套棺材板子。”,鬼吹灯之牧野诡事
Shirley 杨也被瞎子气得哭笑不得，看了我一眼，我对她摇摇头，坚决不同意，这老小子危言耸听，说到最后原来也是个倒斗的，这地穴下不像古墓，再说就算有明器也不能便宜了他。,鬼吹灯之牧野诡事
陈瞎子的口才绝对全书最佳了……,鬼吹灯之牧野诡事
我跟Shirley 杨回了县招待所，见瞎子正在门口给人算命，对方是个当地的妇女，瞎子对那女子说道：“不得了呀，这位奶奶原是天上的,鬼吹灯之牧野诡事
，只因为在天上住得腻了，这才转世下凡，到人间闲玩一回，现在该回天庭了，所以才得上了这不治之症，不出三月，但听得天上,鬼吹灯之牧野诡事
响动，便是你起驾回宫的时辰……”,鬼吹灯之牧野诡事
那女子哭丧着脸问道：“老神仙啊，你说我这病就没个治了？可是我舍不得我家的汉子，不愿意去和,鬼吹灯之牧野诡事
过日子，我跟他没感情啊。再说我家里还有两个娃。”,鬼吹灯之牧野诡事
瞎子显得很为难，对那女子说道：“娘娘您要是不想回宫，倒也不是没有办法，只是老夫……”,鬼吹灯之牧野诡事
鬼吹灯怎么会有两个结局呢？,鬼吹灯之牧野诡事
鬼吹灯8部之后的顺序是什么？,鬼吹灯之牧野诡事
鬼吹灯里的瞎子应该叫他来演,鬼吹灯之牧野诡事
有没有完整版唐门诡的兄弟呀！,鬼吹灯之牧野诡事
《鬼吹灯之怒晴湘西》主角不是潘粤明？靳东的胡八一有望回归？,鬼吹灯之牧野诡事
《鬼吹灯之怒晴湘西》导演 管虎 费振翔 演员：潘粤明、曹卫宇等,鬼吹灯之牧野诡事
刚看完鬼吹灯第一部不敢睡觉了怎么办,鬼吹灯之牧野诡事
国漫地灵曲也是根据鬼吹灯弄得，不错，动漫可以最大化还原原著场,鬼吹灯之牧野诡事
电子书看了两遍之后想收藏一套鬼吹灯八本的正版书 有没有淘宝推,鬼吹灯之牧野诡事
光线版《鬼吹灯之龙岭迷窟》已经杀青了，附演员名单！,鬼吹灯之牧野诡事
灯谜们，《鬼吹灯》的创作背景是什么？霸唱为什么会写这部作品？,鬼吹灯之牧野诡事
鬼吹灯粤语评书讲讲古,鬼吹灯之牧野诡事
鬼吹灯游戏，很符合原著,鬼吹灯之牧野诡事
哪里还有的买老版无删节的鬼吹灯实体书，求告知,鬼吹灯之牧野诡事
问一下大佬们，鬼吹灯好多系列啊，应该是什么顺序看啊，有点懵。,鬼吹灯之牧野诡事
想买套鬼吹灯，谁有未删减的渠道不？,鬼吹灯之牧野诡事
鬼吹灯的顺序是什么？最近看了山海妖冢，搞不清上一部是什么,鬼吹灯之牧野诡事
鬼吹灯有声小说,鬼吹灯之牧野诡事
鬼吹灯,鬼吹灯之牧野诡事
双鱼玉佩事件，绝对真实！！！,鬼吹灯之牧野诡事
想入一套鬼吹灯的实体书，但怕删减太多，哪个出版社的较好，求助,鬼吹灯之牧野诡事
周星驰饰 胡八一。,鬼吹灯之牧野诡事
黄一飞饰 陈教授,鬼吹灯之牧野诡事
有想法，必须顶！,鬼吹灯之牧野诡事
黄皮子坟里的假人熊的扮演者演王胖子最合适,鬼吹灯之牧野诡事
达叔饰  明叔雷显明,鬼吹灯之牧野诡事
鬼吹灯港星根本演不了,鬼吹灯之牧野诡事
卤煮，你忘了飞虎爪,鬼吹灯之牧野诡事
伞兵刀有倒勾刃的，不然为什么叫伞兵刀,鬼吹灯之牧野诡事
回顾一下初中画风😂😂😂,鬼吹灯之牧野诡事
突然发现我的樱花水彩失踪了，心疼⊙﹏⊙,鬼吹灯之牧野诡事
作为一个学生党，不是每天都能更新。。。还望谅解,鬼吹灯之牧野诡事
拿一张旧画换个角度看，光下可以看到金粉哦,鬼吹灯之牧野诡事
耗尽生命力画完了你们想看的怒晴鸡斗六翅大蜈蚣。对于不能每天更的事情，还请大家耐心，耐心😂,鬼吹灯之牧野诡事
老哥你这里不少淘宝货啊,鬼吹灯之牧野诡事
顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶,鬼吹灯之牧野诡事
这两天学习任务比较近，速涂两张，这次的布局比较紧因为想省纸，于是导致总会拍到别的东西😂😂😂,鬼吹灯之牧野诡事
做数学做的我头疼😂，楼主高四复读生😂明年高考换全国卷，去他的极坐标参数方程！,鬼吹灯之牧野诡事
在这里也希望自己明年顺利考上川美😂,鬼吹灯之牧野诡事
喂！老子更新了！开心吗？,鬼吹灯之牧野诡事
原谅我马克笔弄不出来青铜色,鬼吹灯之牧野诡事
什么霍氏不死虫，人面黑垂響。。。我就不画了吧，我恐虫,鬼吹灯之牧野诡事
你画的吗？大师啊！,鬼吹灯之牧野诡事
我也没想到我已经画了不少了，而且还上了色,鬼吹灯之牧野诡事
版本的，最为生动，全集在企鹅fm里能搜到，点击量那是相当高！,鬼吹灯之牧野诡事
周建龙版本和艾宝良版本相对是最好的两个，其他真的太业余了,鬼吹灯之牧野诡事
周建龙版 精绝古城第47集最有意思,鬼吹灯之牧野诡事
只想说杨参你受苦了,鬼吹灯之牧野诡事
为啥后4部没有啥配乐了？？,鬼吹灯之牧野诡事
前四部很好听，后面的感觉不好听，有点假……,鬼吹灯之牧野诡事
没有cp，天珠地灭！,鬼吹灯之牧野诡事
～Shirley杨·完～,鬼吹灯之牧野诡事
……我能说，上一张身高不对吗……,鬼吹灯之牧野诡事
不错就是镇楼，神一般的人物！！！,鬼吹灯之牧野诡事
其实鹧鸪哨图片大部分来自邪教哨瓶,鬼吹灯之牧野诡事
这个来自百度鹧鸪哨吧,鬼吹灯之牧野诡事
我也很无奈啊我心中年轻的瞎子是一个志向勃勃英姿飒爽的年轻盗魁但是鹧鸪哨好找陈瞎子就这一个形态。。。年老版,鬼吹灯之牧野诡事
有没有大神提供一下年轻的瞎子啊,鬼吹灯之牧野诡事
这里的杨同学演的不是很敢恭维，不过在几个影帝的衬托下已经很不错了，不过真的很漂亮的，也挺有知青范儿,鬼吹灯之牧野诡事
本人更喜欢左边这张,鬼吹灯之牧野诡事
