content,keyword,time
第一季还不错，第二季就尿崩了，说好的娱乐圈奋斗，还是个小白,云巅之上2,2017-09-05
陈晓角色设定实力傲娇毒舌可爱 男二张哲瀚无比眼熟原来是琅琊榜的少年林殊 女配左左实在是坏的太白痴...蒋梦婕演的这朵没有在人前批评做坏事的助理还说已经道过歉可以原谅了的白花实在是喜欢不起来 但是蒋本身演的戏中戏女囚演技在线啊,云巅之上2,2017-03-05
看了这部网剧 我觉得陈晓颜值和演技还是在线的 伶人扮相很有味道 贱贱的人设也讨人爱 至于袁姗姗饰演的角色 永远在被陷害和被拯救中徘徊着 有些无语……,云巅之上2,2017-05-10
还行，挺甜的,云巅之上2,2017-03-28
冲着陈晓的颜值跟着老妈看了两集～～～,云巅之上2,2017-03-04
有毒。。。台词带感。,云巅之上2,2017-02-27
陪家里老人看了点，感觉像早年的浪漫满屋,云巅之上2,2017-05-07
袁姗姗诶,云巅之上2,2017-04-30
麻麻地,云巅之上2,2017-03-22
我是多无聊竟然看完了。对这个题材还挺感兴趣的,云巅之上2,2017-08-29
一星给陈晓的颜。其余，每个都辣眼睛,云巅之上2,2017-04-09
艺人的背后到底是啥样的？这下能找出答案了吧,云巅之上2,2017-02-23
为了西皮又硬啃完一部烂剧·············编剧能不能走点心？？？？！！！！,云巅之上2,2017-04-04
说实话陈晓还是实力演技派,云巅之上2,2017-03-04
虽然有些地方很无语但也有很现实的道理啊，正好中和一下，蛮好的啊，陈晓真帅啊！哈哈哈哈哈哈,云巅之上2,2017-03-16
好残酷的娱乐圈 戏中戏 还可以,云巅之上2,2017-03-04
看一个没有演技的女明星演一个有演技的女明星真是一件很尴尬的事情。,云巅之上2,2017-03-30
第二季比第一季还要烂。中国根本就没有行业剧。,云巅之上2,2017-04-15
被陈晓的嬉皮笑脸的小贱样乐到了！！哈哈哈,云巅之上2,2017-03-05
"唐斐和柯洛相比，曾经或许会喜欢柯洛式全盘保护。可现在明白唐斐给的爱是成熟，他教她成长面对，在残酷现实面前丰实羽翼，只有这样她才能稳稳地走下去。看到后面真的气人！！柯洛眼睛瞎了啊？！
在这部剧里终于get到陈晓的颜值！！",云巅之上2,2017-04-14
"就剧情来说，我觉得蛮莫名其妙的，当然电视剧也不能太过较真了，看个热闹算了，但是这个电视剧咋给我一种整个娱乐圈就那么几个人的样子，而且奖也太好拿了吧……
惊喜的是陈晓在里面很帅啊，我之前都没get到过他的帅，到这个剧里是真的好看啊",云巅之上2,2017-05-05
