content,playCount,name
垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃,25130000,时空送货人
"我看了上百个评论,全是说烂片的,就两个说道具不错,当然,我也这么觉得,这部电影也就道具还行,故事很烂,演员不好看,女的是素颜,男的也是,关键为毛这电影全是这种演员,特别是最后一幅画面那个女人,相对于许多电影来说,真的丑,不是一般的丑",25130000,时空送货人
这电影真的是太烂了，竟然还以“缔造中国本土化科幻大片”为濠头，就因为这句话，所以点进去看了一下，没想到收获的是十万分的失望，跳着三分钟左右看完了，真的很无语。这竟然还是腾讯视频联合打造。再了解，竟然还只是第一部！,25130000,时空送货人
我觉得这是个烂片，就果断进来看评论了，[偷笑]果然还是评论比较好看，高手总是在民间啊，厉害了，我的国，这样的片子如果少了，怎么能凸显我大国评论界的水准？片子讲什么无所谓，我就是来看评论的[怄火][怄火][怄火][怄火],25130000,时空送货人
一个字，烂！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,25130000,时空送货人
我准备不看了。,25130000,时空送货人
别的就不说了，这演员是真尼玛丑，大街上随便抓也不至于这么丑吧，基本是歪瓜裂枣。要甩锅给化妆师特效师吗？,25130000,时空送货人
别听他们瞎扯，还TM 几百万，创意首先就是烂到家了，这些所谓的导演就是骗完点击率赚钱完活，刚开始的那些人还机器人？未来机器人就这熊样，跟尼玛植物人差不多，没天赋就别往娱乐圈凑了，现在真是什么人都能拍电影了……,25130000,时空送货人
任何一部电影都是沥尽心血花了或多或少的心思制作而成，也许有很多跟这一样或更差的的电影，都是侮辱了我们的智商和思想，所以说拍片人智商有问题，我们这些观众不能评论这电影烂或辣鸡。影片之下，无奇不有，无奇不无。,25130000,时空送货人
科幻还是不要国产的好！,25130000,时空送货人
任何一部电影都是沥尽心血花了或多或少的心思制作而成，也许有很多跟这一样或更差的的电影，都是侮辱了我们的智商和思想，所以说拍片人智商有问题，我们这些观众不能评论这电影烂或辣鸡。影片之下，无奇不有，无奇不无。,25130000,时空送货人
是一部很有品质的电影情节还是非常搞笑。,25130000,时空送货人
看到大家在喷，我也就放心了。,25130000,时空送货人
时空送货人，什么鬼片子，。,25130000,时空送货人
时空，什么玩意，不知道好不,25130000,时空送货人
什么东西不知道好看不好看,25130000,时空送货人
枪都打不动，你脚踹得飞,25130000,时空送货人
最垃圾的片子，没有之一,25130000,时空送货人
她妈的想做明星想风了吧,25130000,时空送货人
简直你马的垃圾的不能再垃圾的电影，衮你马的，严重侮辱大家智商。垃圾中的战斗机。无法用什么来形容这电影了,25130000,时空送货人
唉…………看不下去了,25130000,时空送货人
艹辣鸡的一逼,25130000,时空送货人
这是侮辱国人的智商,25130000,时空送货人
没人看吗？,25130000,时空送货人
垃圾中的战斗机，什么垃圾都往会员放，审核片子的是不是眼瞎,25130000,时空送货人
特效是花了心思的，鼓励一下，导演加油，希望我们的大格局，会影响电影圈蓬勃发展。,25130000,时空送货人
我只想说导演你真牛逼，硬是把加特林机枪打出了步枪的感觉“哒哒哒”“哒哒”“哒哒哒”，拜托，加特林声音是发动机高速运动的声音，OK，因为加特林射速太快，所以不停火不会就像发动机一样，没有杂音,25130000,时空送货人
演的非常好,25130000,时空送货人
特效我就不说了 我怎么感觉有点像骇客帝国 难道我看错了？特效差 我可以接受 关键有点创意好不？还打压国人 我就没看出什么有值得表扬的地方 要演技没演技 要特效没特效 要剧情没剧情。两个字 辣鸡！,25130000,时空送货人
导演想的是好的，但你马币找日本人演，还你马币的放日语，我去你马币的吧，尽管这部电影还可以也不给你好评，因为你马币的你找日本人放日语就还死！！就该死！！就该死！！重要的事情说三遍！！！,25130000,时空送货人
先他妈好评，新蔡告诉我充钱就能变强。果断把送完女主播剩下来的泡面浅冲了vip。哈哈，感觉魔法要练成了。。。。。。。哈哈哈啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,25130000,时空送货人
哈哈哈哈哈，纳米球！！！！！！！！！！！！！！ 哈哈哈哈哈哈哈哈哈哈哈哈哈！！！！！！！！！！！！！！！！！！！看了两分钟，受不了了。老子钓鱼的鱼漂都叫纳米漂了！！！！好高科技,25130000,时空送货人
昨天没开播的时候看评论区都是说感觉很好的，今天一能看没有一个说好的了，我看了5分钟，连特么快进都不想看了，拜拜吧你,25130000,时空送货人
垃圾电影,25130000,时空送货人
什么片啊,25130000,时空送货人
没看懂,25130000,时空送货人
腾讯烂片一大堆。,25130000,时空送货人
垃圾,25130000,时空送货人
说抄袭终结者的能不能闭嘴？这是抄袭终结者吗？这特么还抄袭了黑客帝国还有其他的，这都不说了，就这混乱的逻辑，垃圾的剧情，低级的特效，动物园一般的演员，我特么都不知道喷哪里才解恨了,25130000,时空送货人
一看又是国产辣鸡片,25130000,时空送货人
观众永远是被坑的对象，TX坑你会员，坑完还有这破电影。我们也能拍电影了，就把广告组合起来就可以了，可能比你这破电影还好看。而且成本更低。,25130000,时空送货人
这特么是什么鬼东西，还要会员。开局一群女的跟一堆穿着裤衩的男的在特么打架，那走路的姿势假的要死。那个女的更加，说说中文又说外语。你特么简直就是侮辱中文好么。唉，实在没眼看下去,25130000,时空送货人
我想知道，开始手机和手表全部丢了，这大嘴女说定位手机，请问机从何来？手机为什么丢了，直接毁掉或者丢到酒杯里不是更好？药再好开颅啊大姐，请别伤害我们，我们都是很容易受伤的,25130000,时空送货人
我滴个亲娘，机器人穿丝袜还他妈的白色的！还有未来机器人还拿个火箭筒你那个未来的？博士你挖沙子就好好的挖呗，你干嘛用棍子钻沙子有那么硬吗？我想问问那个是导演啊？,25130000,时空送货人
我想说女主能换个不 ，一堆日本人唯一一个中国女演员还没那些小日本的好看，我大中华那么多美女能不能找个好点的！,25130000,时空送货人
